"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.8058.1"	"MSTRG.8058"	237	278	139	217	269	248	247	243	252
"MSTRG.8059.1"	"MSTRG.8059"	955	933	497	811	922	754	728	431	611
"MSTRG.806.1"	"MSTRG.806"	980	1126	595	934	1226	898	904	678	871
"MSTRG.8060.1"	"MSTRG.8060"	1626.45	1717.63	1054.11	1608.36	1817.57	1668.77	1811.74	892.71	1549.99
"MSTRG.8060.2"	"MSTRG.8060"	396.55	384.37	208.89	300.64	440.43	501.23	428.26	392.29	469.01
"MSTRG.8061.1"	"MSTRG.8061"	596	644	366	619	852	631	695	487	526
"MSTRG.8062.1"	"MSTRG.8062"	22	18	7	18	22	8	7	6	6
"MSTRG.8063.1"	"MSTRG.8063"	427.18	441.14	252.33	298.5	470.67	393.84	348.57	306.35	353.06
"MSTRG.8064.1"	"MSTRG.8064"	1022	1062	551	1017	1396	1157	1386	856	973
"MSTRG.8065.1"	"MSTRG.8065"	328	310	242	310	455	282	271	169	287
"MSTRG.8066.1"	"MSTRG.8066"	1159.38	1580.78	755.61	1172.82	1463.44	1296.21	1207.73	1076.25	1348.32
"MSTRG.8066.2"	"MSTRG.8066"	617.62	661.22	380.39	577.18	605.56	531.79	503.27	279.75	432.68
"MSTRG.8067.1"	"MSTRG.8067"	887.58	781.15	544.14	807.01	1061.32	997.02	1097.8	442.91	1037.96
"MSTRG.8067.2"	"MSTRG.8067"	199.42	400.85	197.86	57.99	316.68	433.98	181.2	225.09	290.04
"MSTRG.8068.1"	"MSTRG.8068"	12705	11335	8447	11668	12345	10693	13783	4626	8631
"MSTRG.8069.1"	"MSTRG.8069"	5130.07	6067.67	3124.65	4913.54	7054.36	6413.08	5376.44	4381.39	6343.13
"MSTRG.8069.2"	"MSTRG.8069"	980.94	1150.76	576.93	928.02	1326.61	1179.51	1062.43	962.78	1256.54
"MSTRG.8069.3"	"MSTRG.8069"	503.99	534.57	513.42	442.44	562.03	463.41	420.13	81.83	490.33
"MSTRG.807.1"	"MSTRG.807"	13	24	9	19	17	18	15	19	7
"MSTRG.8070.1"	"MSTRG.8070"	138.71	127.27	0	38.49	156.27	175.07	148.07	270.99	76.99
"MSTRG.8070.2"	"MSTRG.8070"	0	44.85	38.33	46.54	0	0	0	0	0
"MSTRG.8070.3"	"MSTRG.8070"	336.82	428.88	252.67	377.75	327.4	247.08	285.09	73.01	231.13
"MSTRG.8070.4"	"MSTRG.8070"	37.47	0	0	24.21	52.34	27.85	17.84	0	22.88
"MSTRG.8071.1"	"MSTRG.8071"	357	379	203	302	374	329	320	239	249
"MSTRG.8072.1"	"MSTRG.8072"	217.76	183.94	134.45	129.56	95.98	283.18	211.94	90.73	210.75
"MSTRG.8072.2"	"MSTRG.8072"	818.24	1167.06	559.55	832.44	1032.02	992.82	754.06	762.27	845.25
"MSTRG.8073.1"	"MSTRG.8073"	162	225	122	176	213	219	197	112	154
"MSTRG.8074.1"	"MSTRG.8074"	3840	4061	2507	3519	4044	2642	3161	2188	2383
"MSTRG.8075.1"	"MSTRG.8075"	547	652	173	538	384	632	583	501	305
"MSTRG.8076.1"	"MSTRG.8076"	277	355	192	293	321	270	288	248	256
"MSTRG.8077.1"	"MSTRG.8077"	215	187	199	229	279	185	287	112	134
"MSTRG.8078.1"	"MSTRG.8078"	381.4	401.21	231.29	333.3	407.74	354.93	438.23	202.86	255.7
"MSTRG.8078.2"	"MSTRG.8078"	442.73	374.61	186.91	267.13	303.84	222.92	329.71	136.64	235.29
"MSTRG.8078.3"	"MSTRG.8078"	61.53	149.59	50.03	137.56	122.17	57.32	78.2	153.44	77
"MSTRG.8078.4"	"MSTRG.8078"	348.78	206.27	158.9	318.43	369.74	333.67	213.52	190.39	221.56
"MSTRG.8078.5"	"MSTRG.8078"	122.56	51.31	52.88	89.57	95.51	93.17	210.34	53.68	56.45
"MSTRG.8079.1"	"MSTRG.8079"	0	0	0	0	0	0	0	210.13	0
"MSTRG.8079.2"	"MSTRG.8079"	713.9	835.06	427.51	724.43	858.44	814.2	549.03	865.26	714.07
"MSTRG.8079.3"	"MSTRG.8079"	9009.94	9329.86	4222.98	7805.58	10032.37	7691.65	8540.81	6491.44	7088.89
"MSTRG.8079.4"	"MSTRG.8079"	0	0	110.01	94.52	0	0	0	0	0
"MSTRG.8079.5"	"MSTRG.8079"	977.68	1157.34	543.61	990.62	1017.29	808.83	1008.82	574.83	757.98
"MSTRG.8079.6"	"MSTRG.8079"	53.36	69.55	34.95	73.28	42.82	45.01	80.6	48.67	32.49
"MSTRG.808.1"	"MSTRG.808"	2482.61	2476.7	1768.52	2472.03	2760.38	2399.82	2565	993.54	1986.06
"MSTRG.8080.1"	"MSTRG.8080"	1718	1642	903	1547	1937	1403	1736	1073	1279
"MSTRG.8081.1"	"MSTRG.8081"	903.42	1082.95	525.16	876.17	1045.51	912.71	777.71	618.47	746.53
"MSTRG.8081.2"	"MSTRG.8081"	258.58	336.05	144.84	254.83	328.49	312.29	272.29	278.53	261.47
"MSTRG.8082.1"	"MSTRG.8082"	1559.99	1705	735	1526	1903.2	1715	1669	1148.97	1353.13
"MSTRG.8083.1"	"MSTRG.8083"	1937.07	309.22	308.52	573.41	619.29	614.2	922.45	0	308.08
"MSTRG.8083.2"	"MSTRG.8083"	0.93	1233.78	534.48	999.59	1273.71	995.8	916.55	1487	1093.92
"MSTRG.8084.1"	"MSTRG.8084"	814	885	554	762	1284	724	840	613	861
"MSTRG.8085.1"	"MSTRG.8085"	113	150	90	114	162	122	147	85	127
"MSTRG.8086.1"	"MSTRG.8086"	167.58	23.08	59.11	154.99	90.03	80.15	118.31	13.05	42.65
"MSTRG.8087.1"	"MSTRG.8087"	1631.08	1585.84	874.31	1577.44	1950.46	1520.66	1951.91	1111	1292.18
"MSTRG.8088.1"	"MSTRG.8088"	1407.03	1651.94	839.64	1336.22	1862.68	1984.79	1501.46	1659.36	1815.14
"MSTRG.8088.2"	"MSTRG.8088"	194.97	288.06	209.36	247.78	400.32	270.21	374.54	130.64	264.86
"MSTRG.8089.1"	"MSTRG.8089"	576	533	277	529	641	540	636	433	524
"MSTRG.809.1"	"MSTRG.809"	568.35	661.32	273.13	566.21	688.28	599.89	598.65	503.8	488.01
"MSTRG.8090.1"	"MSTRG.8090"	424	451	239	436	534	403	484	274	357
"MSTRG.8091.1"	"MSTRG.8091"	192.96	231.47	87.44	224.38	266.24	212.96	231.06	214.65	185.67
"MSTRG.8092.1"	"MSTRG.8092"	834.36	866.68	485.99	833.56	1027.87	779.63	821.61	851.75	785.58
"MSTRG.8093.1"	"MSTRG.8093"	948.2	1006.6	529.57	864.07	1132.8	1220.41	878.28	1414.34	1039.98
"MSTRG.8093.2"	"MSTRG.8093"	2814.3	2974.36	1452.43	2566.81	3341.36	2498.47	2972.59	1957.21	2306.95
"MSTRG.8094.1"	"MSTRG.8094"	720.65	666.21	414.28	718.67	811.2	715.08	705.65	514.5	580.41
"MSTRG.8094.2"	"MSTRG.8094"	1456.35	1336.79	676.72	1304.33	1702.8	1165.92	1497.35	1221.5	1094.59
"MSTRG.8095.1"	"MSTRG.8095"	41	42	16	23	39	35	41	49	37
"MSTRG.8096.1"	"MSTRG.8096"	676	672	412	611	896	609	563	498	605
"MSTRG.8097.1"	"MSTRG.8097"	364.73	380.68	176.41	320.9	455.17	331.66	401.16	67.02	274.11
"MSTRG.8097.2"	"MSTRG.8097"	5828.14	5703.24	3100.92	5202.04	7069.29	6370.2	7414.47	3394.41	5257.75
"MSTRG.8097.3"	"MSTRG.8097"	973.13	874.07	490.68	910.05	1355.55	921.14	1336.37	793.57	639.14
"MSTRG.8098.1"	"MSTRG.8098"	647	829	368	666	797	649	633	657	606
"MSTRG.8099.1"	"MSTRG.8099"	158	254	105	180.01	219	158	173	237	150
"MSTRG.81.1"	"MSTRG.81"	1215.96	1175.9	566.98	1230.83	1339.81	1000.14	1329.29	1073.88	821.56
"MSTRG.810.1"	"MSTRG.810"	14	18	14	19	12	16	11	3	11
"MSTRG.8100.1"	"MSTRG.8100"	0	0	0	116.81	1.33	0	0	3.04	0
